Sample,Analyte,Element,HT, ,units,rep,1/4/2023,11:33:08
171733-8,1,Ag,1,0.001,mg/L,1,1/4/2023,11:54:47
171733-8,1,Al,1,29.300,mg/L,1,1/4/2023,11:54:47
171733-8,1,Au,1,Uncal,mg/L,1,1/4/2023,11:54:47
171733-8,1,B,1,0.750,mg/L,1,1/4/2023,11:54:47
171733-8,1,Ba,1,0.3820,mg/L,1,1/4/2023,11:54:47
171733-8,1,Be,1,0.001,mg/L,1,1/4/2023,11:54:47
171733-8,1,Ca,1,145.000,mg/L,1,1/4/2023,11:54:47
171733-8,1,Co,1,0.0191,mg/L,1,1/4/2023,11:54:47
171733-8,1,Cr,1,0.2650,mg/L,1,1/4/2023,11:54:47
171733-8,1,Cu,1,0.370,mg/L,1,1/4/2023,11:54:47
171733-8,1,Fe,1,32.500,mg/L,1,1/4/2023,11:54:47
171733-8,1,K,1,79.42,mg/L,1,1/4/2023,11:54:47
171733-8,1,La,1,Uncal,mg/L,1,1/4/2023,11:54:47
171733-8,1,Mg,1,23.34,mg/L,1,1/4/2023,11:54:47
171733-8,1,Mn,1,1.440,mg/L,1,1/4/2023,11:54:47
171733-8,1,Mo,1,0.013,mg/L,1,1/4/2023,11:54:47
171733-8,1,Na,1,33.86,mg/L,1,1/4/2023,11:54:47
171733-8,1,Ni,1,0.130,mg/L,1,1/4/2023,11:54:47
171733-8,1,P,1,22.000,mg/L,1,1/4/2023,11:54:47
171733-8,1,S,1,11.43,mg/L,1,1/4/2023,11:54:47
171733-8,1,Sc,1,Uncal,mg/L,1,1/4/2023,11:54:47
171733-8,1,Si,1,1.600,mg/L,1,1/4/2023,11:54:47
171733-8,1,Sn,1,0.008,mg/L,1,1/4/2023,11:54:47
171733-8,1,Sr,1,0.47,mg/L,1,1/4/2023,11:54:47
171733-8,1,Ti,1,1.500,mg/L,1,1/4/2023,11:54:47
171733-8,1,V,1,0.089,mg/L,1,1/4/2023,11:54:47
171733-8,1,W,1,0.017,mg/L,1,1/4/2023,11:54:47
171733-8,1,Zn,1,0.6350,mg/L,1,1/4/2023,11:54:47
171930-1,1,Ag,1,0.001,mg/L,1,1/4/2023,11:57:30
171930-1,1,Al,1,0.216,mg/L,1,1/4/2023,11:57:30
171930-1,1,Au,1,Uncal,mg/L,1,1/4/2023,11:57:30
171930-1,1,B,1,0.751,mg/L,1,1/4/2023,11:57:30
171930-1,1,Ba,1,0.0561,mg/L,1,1/4/2023,11:57:30
171930-1,1,Be,1,0.000,mg/L,1,1/4/2023,11:57:30
171930-1,1,Ca,1,39.300,mg/L,1,1/4/2023,11:57:30
171930-1,1,Co,1,0.0003,mg/L,1,1/4/2023,11:57:30
171930-1,1,Cr,1,0.0010,mg/L,1,1/4/2023,11:57:30
171930-1,1,Cu,1,0.031,mg/L,1,1/4/2023,11:57:30
171930-1,1,Fe,1,1.410,mg/L,1,1/4/2023,11:57:30
171930-1,1,K,1,1.21,mg/L,1,1/4/2023,11:57:30
171930-1,1,La,1,Uncal,mg/L,1,1/4/2023,11:57:30
171930-1,1,Mg,1,7.43,mg/L,1,1/4/2023,11:57:30
171930-1,1,Mn,1,0.034,mg/L,1,1/4/2023,11:57:30
171930-1,1,Mo,1,0.003,mg/L,1,1/4/2023,11:57:30
171930-1,1,Na,1,19.81,mg/L,1,1/4/2023,11:57:30
171930-1,1,Ni,1,0.001,mg/L,1,1/4/2023,11:57:30
171930-1,1,P,1,0.229,mg/L,1,1/4/2023,11:57:30
171930-1,1,S,1,1.52,mg/L,1,1/4/2023,11:57:30
171930-1,1,Sc,1,Uncal,mg/L,1,1/4/2023,11:57:30
171930-1,1,Si,1,11.000,mg/L,1,1/4/2023,11:57:30
171930-1,1,Sn,1,0.000,mg/L,1,1/4/2023,11:57:30
171930-1,1,Sr,1,0.39,mg/L,1,1/4/2023,11:57:30
171930-1,1,Ti,1,0.001,mg/L,1,1/4/2023,11:57:30
171930-1,1,V,1,0.001,mg/L,1,1/4/2023,11:57:30
171930-1,1,W,1,0.002,mg/L,1,1/4/2023,11:57:30
171930-1,1,Zn,1,0.0476,mg/L,1,1/4/2023,11:57:30
171931-1,1,Ag,1,0.000,mg/L,1,1/4/2023,12:00:13
171931-1,1,Al,1,0.329,mg/L,1,1/4/2023,12:00:13
171931-1,1,Au,1,Uncal,mg/L,1,1/4/2023,12:00:13
171931-1,1,B,1,0.892,mg/L,1,1/4/2023,12:00:13
171931-1,1,Ba,1,0.0025,mg/L,1,1/4/2023,12:00:13
171931-1,1,Be,1,0.000,mg/L,1,1/4/2023,12:00:13
171931-1,1,Ca,1,0.783,mg/L,1,1/4/2023,12:00:13
171931-1,1,Co,1,0.0004,mg/L,1,1/4/2023,12:00:13
171931-1,1,Cr,1,0.0003,mg/L,1,1/4/2023,12:00:13
171931-1,1,Cu,1,0.007,mg/L,1,1/4/2023,12:00:13
171931-1,1,Fe,1,0.586,mg/L,1,1/4/2023,12:00:13
171931-1,1,K,1,0.58,mg/L,1,1/4/2023,12:00:13
171931-1,1,La,1,Uncal,mg/L,1,1/4/2023,12:00:13
171931-1,1,Mg,1,0.05,mg/L,1,1/4/2023,12:00:13
171931-1,1,Mn,1,0.005,mg/L,1,1/4/2023,12:00:13
171931-1,1,Mo,1,0.001,mg/L,1,1/4/2023,12:00:13
171931-1,1,Na,1,59.03,mg/L,1,1/4/2023,12:00:13
171931-1,1,Ni,1,0.002,mg/L,1,1/4/2023,12:00:13
171931-1,1,P,1,0.118,mg/L,1,1/4/2023,12:00:13
171931-1,1,S,1,3.28,mg/L,1,1/4/2023,12:00:13
171931-1,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:00:13
171931-1,1,Si,1,9.430,mg/L,1,1/4/2023,12:00:13
171931-1,1,Sn,1,0.002,mg/L,1,1/4/2023,12:00:13
171931-1,1,Sr,1,0.00,mg/L,1,1/4/2023,12:00:13
171931-1,1,Ti,1,0.001,mg/L,1,1/4/2023,12:00:13
171931-1,1,V,1,0.001,mg/L,1,1/4/2023,12:00:13
171931-1,1,W,1,0.002,mg/L,1,1/4/2023,12:00:13
171931-1,1,Zn,1,0.0271,mg/L,1,1/4/2023,12:00:13
171944-7,1,Ag,1,0.001,mg/L,1,1/4/2023,12:02:56
171944-7,1,Al,1,28.500,mg/L,1,1/4/2023,12:02:56
171944-7,1,Au,1,Uncal,mg/L,1,1/4/2023,12:02:56
171944-7,1,B,1,0.632,mg/L,1,1/4/2023,12:02:56
171944-7,1,Ba,1,0.4980,mg/L,1,1/4/2023,12:02:56
